	domain	phylum	class	order	family	genus
OTU_1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_3	Bacteria	"Actinobacteria"	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
OTU_4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_7	Bacteria	"Actinobacteria"	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
OTU_8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_9	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
OTU_10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_11	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU_12	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
OTU_13	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_14	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
OTU_15	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Finegoldia
OTU_16	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_17	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_18	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_19	Bacteria	"Tenericutes"	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
OTU_20	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
OTU_21	Bacteria	"Actinobacteria"	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium
OTU_22	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	unclassified_Pasteurellaceae
OTU_23	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Finegoldia
OTU_24	Bacteria	"Tenericutes"	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma
OTU_25	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_26	Bacteria	"Proteobacteria"	unclassified_"Proteobacteria"	unclassified_"Proteobacteria"	unclassified_"Proteobacteria"	unclassified_"Proteobacteria"
OTU_27	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_28	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_29	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
OTU_30	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_31	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
OTU_32	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus
OTU_33	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_34	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
OTU_35	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Anaerococcus
OTU_36	Bacteria	"Fusobacteria"	Fusobacteriia	"Fusobacteriales"	"Fusobacteriaceae"	Fusobacterium
OTU_37	Bacteria	"Proteobacteria"	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
OTU_38	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Micrococcaceae	unclassified_Micrococcaceae
OTU_39	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
OTU_40	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_41	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_42	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus
OTU_43	Bacteria	"Fusobacteria"	Fusobacteriia	"Fusobacteriales"	"Leptotrichiaceae"	Streptobacillus
OTU_44	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
OTU_45	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	unclassified_Actinomycetales	unclassified_Actinomycetales
OTU_46	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
OTU_47	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Anaerococcus
OTU_48	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_49	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
OTU_50	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
OTU_51	Bacteria	"Actinobacteria"	Actinobacteria	Coriobacteriales	Coriobacteriaceae	unclassified_Coriobacteriaceae
OTU_52	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_53	Bacteria	"Fusobacteria"	Fusobacteriia	"Fusobacteriales"	"Leptotrichiaceae"	unclassified_"Leptotrichiaceae"
OTU_54	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
OTU_55	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Parvimonas
OTU_56	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila
OTU_57	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
OTU_58	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
OTU_59	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
OTU_60	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
OTU_61	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_62	Bacteria	"Proteobacteria"	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
OTU_63	Bacteria	"Fusobacteria"	Fusobacteriia	"Fusobacteriales"	"Fusobacteriaceae"	Fusobacterium
OTU_64	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_65	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_66	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Anaerococcus
OTU_67	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
OTU_68	Bacteria	"Proteobacteria"	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
OTU_69	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Anaerococcus
OTU_70	Bacteria	"Actinobacteria"	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia
OTU_71	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales
OTU_72	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_73	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales
OTU_74	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
OTU_75	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum
OTU_76	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
OTU_77	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
OTU_78	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
OTU_79	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_80	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
OTU_81	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Helcococcus
OTU_82	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
OTU_83	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium
OTU_84	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_85	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_86	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
OTU_87	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia
OTU_88	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia
OTU_89	Bacteria	"Proteobacteria"	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
OTU_90	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus
OTU_91	Bacteria	Firmicutes	Bacilli	Lactobacillales	unclassified_Lactobacillales	unclassified_Lactobacillales
OTU_92	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus
OTU_93	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus
OTU_94	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	unclassified_Actinomycetales	unclassified_Actinomycetales
OTU_95	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
OTU_96	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus
OTU_97	Bacteria	"Actinobacteria"	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia
OTU_98	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae Sedis XI	Gemella
OTU_99	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Ezakiella
OTU_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus
OTU_101	Bacteria	"Proteobacteria"	Betaproteobacteria	Neisseriales	Neisseriaceae	unclassified_Neisseriaceae
OTU_102	Bacteria	Firmicutes	unclassified_Firmicutes	unclassified_Firmicutes	unclassified_Firmicutes	unclassified_Firmicutes
OTU_103	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia
OTU_104	Bacteria	"Actinobacteria"	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
OTU_105	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	unclassified_Clostridiales_Incertae Sedis XI
OTU_106	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
OTU_107	Bacteria	"Actinobacteria"	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
OTU_108	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	unclassified_Veillonellaceae
OTU_109	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Helcococcus
OTU_110	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Anaerococcus
OTU_111	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
OTU_112	Bacteria	Firmicutes	unclassified_Firmicutes	unclassified_Firmicutes	unclassified_Firmicutes	unclassified_Firmicutes
OTU_113	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium
OTU_114	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus
OTU_115	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	Porphyromonas
OTU_116	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_117	Bacteria	"Proteobacteria"	Gammaproteobacteria	"Enterobacteriales"	Enterobacteriaceae	unclassified_Enterobacteriaceae
OTU_118	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
OTU_119	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus
OTU_120	Bacteria	"Proteobacteria"	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
OTU_121	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto
OTU_122	Bacteria	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	Prevotella
OTU_123	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae
OTU_124	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Actinomycetaceae	unclassified_Actinomycetaceae
OTU_125	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
