Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
1950-1951,La Nina,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,El Nino
1951-1952,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither,Neither,Neither
1952-1953,Neither,Neither,Neither,Neither,Neither,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino
1953-1954,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,La Nina,La Nina
1954-1955,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina
1955-1956,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina
1956-1957,La Nina,La Nina,La Nina,Neither,Neither,Neither,Neither,Neither,Neither,El Nino,El Nino,El Nino
1957-1958,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino
1958-1959,El Nino,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither
1959-1960,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1960-1961,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1961-1962,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1962-1963,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,El Nino
1963-1964,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,La Nina,La Nina
1964-1965,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither,Neither,El Nino,El Nino
1965-1966,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither
1966-1967,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1967-1968,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1968-1969,Neither,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino
1969-1970,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither,Neither,Neither,Neither
1970-1971,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina
1971-1972,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither,Neither,El Nino,El Nino
1972-1973,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,La Nina,La Nina
1973-1974,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina
1974-1975,La Nina,Neither,Neither,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina
1975-1976,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither
1976-1977,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither,Neither
1977-1978,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither,Neither,Neither
1978-1979,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1979-1980,Neither,Neither,Neither,El Nino,El Nino,El Nino,El Nino,El Nino,Neither,Neither,Neither,Neither
1980-1981,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
1981-1982,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino
1982-1983,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino
1983-1984,Neither,Neither,La Nina,La Nina,La Nina,La Nina,La Nina,Neither,Neither,Neither,Neither,Neither
1984-1985,Neither,Neither,Neither,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina
