OTUId	SRR5944960	SRR5944971	SRR5944984	SRR5944985	SRR5944986	SRR5944990	SRR5944998	SRR5945004	SRR5945006	SRR5945007	SRR5945019	SRR5945036	SRR5945037	SRR5945040	SRR5945041	SRR5945042	SRR5945062	SRR5945067	SRR5945072	SRR5945075	SRR5945093	SRR5945100	SRR5945101	SRR5945103	SRR5945121	SRR5945137	SRR5945141	SRR5970594	SRR5970602	SRR5970613	SRR5970633	SRR5970696	SRR5970727	SRR5970786	SRR5970843	SRR5970952	SRR5971020	SRR5971077	SRR5971094	SRR5971121	SRR5971134	SRR5971142	SRR5971178	SRR5971244	SRR5971252	SRR5971253	SRR5971296	SRR5971310	SRR5971321	SRR5971331	SRR5971332	SRR5971345	SRR5971351	SRR5971359	SRR5971376	SRR5971381	SRR5971392	SRR5971402	SRR5971406	SRR5971407	SRR5971412	SRR5971417	SRR5971495	SRR5971651	SRR5971741	SRR5971848	SRR5971925	SRR5971970	SRR5972033	SRR5972053	SRR5972132	SRR5972155	SRR5972183	SRR5972195	SRR5972207	SRR5972216	SRR5972221	SRR5972236	SRR5972239	SRR5972242	SRR5972243	SRR5972254	SRR5972258	SRR5972274	SRR5972280	SRR5972285	SRR5972290	SRR5972301	SRR5972305	SRR5972316	SRR5972337	SRR5972364	SRR5972387	SRR5972400	SRR5972417	SRR5972503	SRR5972529	SRR5972633	SRR5972683	SRR5972686
OTU_32	10050	5	110	527	2	102	32	38	25	134	11	11	260	3	58	47	13	13	5	66	0	343	666	63	14	435	513	16	28	66	399	0	0	0	0	8	16	44	81	0	15	142	4	7	3	0	50	1	0	2	1	3	0	7	2	24	4	5	1304	0	54	537	9	138	5	23	19	38	21	4	14	49	2	1	48	30	4	4001	2	0	12	1794	33	721	11	6	1	1	0	254	21	1	3	248	4	146	0	222	23	16
OTU_1	48542	51618	22	3	8	13	11	11	5	6	45150	10	7	11	9	19	9	20	18	0	80059	28	29	3	6	37821	30079	120531	126983	128687	116178	127676	131790	135494	142616	2	135349	15	62	143888	73	20	72	136309	127544	138529	74	111615	122601	111841	134791	73	138202	135311	139661	108000	109741	126420	224	103702	82057	4172	16	49	59	21	25	22854	0	6	117484	44	122135	22	36401	158715	27	113229	37	59	96	6	41314	97191	152943	127689	155	129800	123398	15	8	16	95019	158088	152515	17	63	48	495	47
OTU_35	9091	4	47	123	11	32	28	9	10	12	16	5	46	28	19	14	29	10	8	390	0	50	371	17	8	262	651	43	59	34	178	0	0	0	0	4	41	14	15	0	4	165	2	16	2	0	159	1	0	1	0	6	6	9	4	60	0	3	2	1	268	0	6	221	90	22	3	15	7	1	18	67	4	2	2	89	10	503	1	1	14	687	144	261	18	5	6	2	0	290	50	1	0	211	6	165	1	347	28	2
OTU_56	4330	0	1	0	0	0	4	0	0	0	0	2	0	1	0	1	0	0	0	7	0	1	0	0	0	31	106	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	2	0	38	0	0	0	0	74	0	0	3	2	1	0	0	16	0	13	0	0	0	1	2	3	11	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	45	1	1	0	27	1	0
OTU_25	7501	0	1	1	2	1	4380	0	0	0	4	0	0	0	0	1	2	4	0	0	0	0	0	0	1	10459	2509	0	2	0	0	0	0	0	0	124	0	133	148	0	209	2	123	0	1	1	44	0	1	13	0	164	2	0	0	0	22	5	0	0	0	0	131	7	259	1	103	0	103	1623	2	1	0	1	17	0	2	1	12	1	1357	0	1	0	7	1	4	0	0	1	0	214	0	0	0	0	1	3	73	2
OTU_37	6794	0	0	0	2	0	23	44	0	0	0	7	1	3	0	0	14	0	0	65	0	0	0	0	27	804	530	7	3	7	64	0	0	0	0	0	1	0	0	0	0	14	0	0	0	1	35	1	0	1	1	1	3	4	0	3	2	11	7	0	26	187	0	5	10	11	2	7	0	0	9	12	0	1	0	9	0	1172	0	1	0	782	0	28	1	0	1	1	0	109	111	0	0	14	0	5	0	300	38	1
OTU_81	1572	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	1	0	1	1	0	0	0	0	1	0	0	0	0	191	0	0	0	0	5	0	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
OTU_15	10450	14	1120	647	58	564	285	907	107	2395	56	82	2067	23	472	454	231	153	55	2185	0	2539	3010	326	229	1656	1110	47	59	156	705	2	1	3	0	13	96	83	273	0	25	695	49	17	4	2	52	1	4	6	4	18	8	18	2	22	5	6	2406	4	90	1803	22	992	297	27	105	48	177	71	83	53	6	1	117	40	5	8863	1	4	75	1621	9	1792	21	8	24	10	2	11	43	3	2	329	13	292	5	648	83	44
OTU_39	4077	0	992	608	55	40	50	1032	68	658	1	49	475	9	164	39	97	108	12	589	0	362	1288	475	266	149	9	1	1	16	25	0	0	0	0	0	0	0	1	0	0	45	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	17	275	1	0	11	0	0	209	4	5	0	0	633	0	0	3	0	0	1	106	0	575	0	0	12	0	0	1	39	0	0	2	1	12	0	53	8	5
OTU_118	514	0	0	0	2	0	0	36	0	0	0	9	0	8	0	0	3	0	1	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	9	0	1	0	0	36	0	0	0	0	2	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
